,daci,ain0,ain1
154,154,2.857855999999998,1.8882239999999992
155,155,2.8679039999999993,1.863103999999998
156,156,2.8829759999999993,1.8530559999999987
157,157,2.903071999999998,1.8329599999999981
158,158,2.918143999999998,1.8178879999999982
159,159,2.9382399999999986,1.7977919999999994
160,160,2.948287999999998,1.7827199999999994
161,161,2.9683839999999986,1.7626239999999989
162,162,2.9834559999999986,1.7475519999999989
163,163,2.9985279999999985,1.7274559999999983
164,164,3.018623999999999,1.7073599999999995
165,165,3.0437439999999985,1.6922879999999996
166,166,3.0537919999999996,1.672191999999999
167,167,3.063839999999999,1.6621439999999996
168,168,3.0889599999999984,1.6370239999999985
169,169,3.1040319999999983,1.6219519999999985
170,170,3.124127999999999,1.6119039999999991
171,171,3.1341759999999983,1.5867839999999998
172,172,3.1592959999999994,1.571711999999998
173,173,3.1743679999999994,1.5516159999999992
174,174,3.1894399999999994,1.5315199999999987
175,175,3.2045119999999994,1.5164479999999987
176,176,3.224607999999998,1.5013759999999987
177,177,3.2346559999999993,1.4913279999999993
178,178,3.2597759999999987,1.4662079999999982
179,179,3.269823999999998,1.4511359999999982
180,180,3.2899199999999986,1.4310399999999994
181,181,3.3049919999999986,1.4159679999999994
182,182,3.315039999999998,1.395871999999999
183,183,3.3351359999999985,1.3757759999999983
184,184,3.3602559999999997,1.3607039999999984
185,185,3.3753279999999997,1.3456319999999984
186,186,3.3903999999999996,1.3255359999999996
187,187,3.4104959999999984,1.305439999999999
188,188,3.4255679999999984,1.290367999999999
189,189,3.4406399999999984,1.275295999999999
190,190,3.460735999999999,1.2602239999999991
191,191,3.4707839999999983,1.2401279999999986
192,192,3.490879999999999,1.220031999999998
193,193,3.505951999999999,1.2099839999999986
194,194,3.521023999999999,1.189887999999998
195,195,3.536095999999999,1.174815999999998
196,196,3.5511679999999988,1.1547199999999993
197,197,3.5712639999999993,1.1346239999999987
198,198,3.5863359999999993,1.1195519999999988
199,199,3.606431999999998,1.1044799999999988
200,200,3.6265279999999986,1.0793599999999994
201,201,3.6415999999999986,1.0642879999999995
202,202,3.6566719999999986,1.0492159999999995
203,203,3.676767999999999,1.029119999999999
204,204,3.691839999999999,1.014047999999999
205,205,3.706911999999999,0.9939519999999984
206,206,3.721983999999999,0.9738559999999996
207,207,3.7420799999999996,0.9587839999999996
208,208,3.7621759999999984,0.9437119999999997
209,209,3.7722239999999996,0.9286399999999997
210,210,3.7923199999999984,0.9085439999999991
211,211,3.8073919999999983,0.8934719999999992
212,212,3.8224639999999983,0.8733759999999986
213,213,3.842559999999999,0.8583039999999986
214,214,3.857631999999999,0.8382079999999981
215,215,3.872703999999999,0.8181119999999993
216,216,3.8927999999999994,0.8030399999999993
217,217,3.9078719999999993,0.7879679999999993
218,218,3.9229439999999993,0.7678719999999988
219,219,3.943039999999998,0.7477759999999982
220,220,3.9530879999999993,0.7327039999999982
221,221,3.9782079999999986,0.7176319999999983
222,222,3.9932799999999986,0.6975359999999995
223,223,4.008351999999999,0.6824639999999995
224,224,4.028447999999999,0.662367999999999
225,225,4.043519999999999,0.647295999999999
226,226,4.063615999999998,0.6271999999999984
227,227,4.078688,0.6121279999999985
228,228,4.09376,0.5920319999999997
229,229,4.108832,0.5769599999999997
230,230,4.128927999999998,0.5618879999999997
231,231,4.1389759999999995,0.5417919999999992
232,232,4.159071999999998,0.5216959999999986
233,233,4.174143999999998,0.5066239999999986
234,234,4.189215999999998,0.4865279999999981
235,235,4.204287999999998,0.4714559999999981
236,236,4.229407999999999,0.4513599999999993
237,237,4.239455999999999,0.43628799999999934
